id,title,inspection_id,content,user_email,timestamp
1,Reforma da quadra poliesportiva,1,Instalação das balizas e cestas de basquete,george@trena.mpmg.mg.br,1662158529000
2,Reforma do prédio A,1,Ampliação do número de salas,george@trena.mpmg.mg.br,1662254016000
3,Reforma das salas de aula,3,Renovação da pintura piso e parte elétrica,george@trena.mpmg.mg.br,1667836925000
4,Revitalização da fachada,3,Pintura da fachada dos portões e passeios,george@trena.mpmg.mg.br,1663938297000
5,Criação da sala de professores,3,Instalação de pontos de internet tomada e mobiliário,george@trena.mpmg.mg.br,1669486004000
6,Reforma da biblioteca,4,Instalação de estantes e pontos de internet,george@trena.mpmg.mg.br,1662794224000
7,Verificação da etapa 3.1 do edital,5,Pintura das salas,george@trena.mpmg.mg.br,1668080196000
8,Fundação da quadra poliesportiva,5,Conferir se os tubulões estão no dimensionamento previsto,joao@trena.mpmg.mg.br,1661829061000
9,Ampliação do numero de salas,5,Verificação da qualidade do concreto e ferragem da fundação,joao@trena.mpmg.mg.br,1668463704000
10,Reforma das salas de aula,9,Verificar a parte elétrica pintura e pontos de acesso à internet,joao@trena.mpmg.mg.br,1669546995000
11,Revitalizacao da fachada,9,Verificar a metragem do muro e do portão de acesso,joao@trena.mpmg.mg.br,1665862592000
12,Criação da sala de professores,10,Verificar o mobiliário instalado,joao@trena.mpmg.mg.br,1667512397000
13,Reforma da biblioteca,9,Reforma da biblioteca,joao@trena.mpmg.mg.br,1664014055000
14,Reforma das salas de aula,8,Verificação dos quadros brancos novos pisos e gesso,joao@trena.mpmg.mg.br,1660494178000
15,Construção de novo andar de aulas,8,Conferir o andamento da obra e qualidade da alvenaria,george@trena.mpmg.mg.br,1666505652000
16,Reforma do pátio,8,Verificar o novo piso e acessibillidade,joao@trena.mpmg.mg.br,1666771987000
